"TOA5","IFA_Rothrocks","CR800","43769","CR800.Std.32.02","CPU:Blue_River_Rothrocks_Mill.CR8","34027","Rothrocks_15_min"
"TIMESTAMP","RECORD","BattV_Min","BattV_TMn","PTemp_C_Avg","Temperature_Avg","Cond_Avg","Sp_Cond_Avg","Turbidity_Avg","Cable_Pwr_Avg","Lvl_ft_Avg","Temp_F_2_Avg"
"TS","RN","Volts","","Deg C","C","uS/cm","uS/Cm","NTU","volts","feet","deg F"
"","","Min","TMn","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2025-11-03 16:30:00",2,13.94,"2025-11-03 16:28:10",22.47,9.39,-0.047,-0.051,1.281,5.717,0.035,71.65
"2025-11-03 16:45:00",3,13.95,"2025-11-03 16:31:00",22.67,21.72,-0.12,-0.127,3.043,13.41,0.037,73.05
"2025-11-03 17:00:00",4,13.95,"2025-11-03 16:46:10",22.7,21.42,-0.12,-0.129,3.107,13.41,0.036,72.47
"2025-11-03 17:15:00",5,13.95,"2025-11-03 17:00:10",22.64,21.15,-0.12,-0.129,3.126,13.41,0.036,72.18
"2025-11-03 17:30:00",6,13.95,"2025-11-03 17:16:10",22.58,20.93,-0.12,-0.13,3.121,13.41,0.036,72.04
"2025-11-03 17:45:00",7,13.94,"2025-11-03 17:32:20",22.51,20.76,-0.12,-0.131,3.138,13.41,0.036,71.96
"2025-11-05 10:45:00",8,13.02,"2025-11-05 10:38:50",17.31,4.462,124.6,175,1.242,5.636,1.179,49.5
"2025-11-05 11:00:00",9,13.07,"2025-11-05 10:53:00",17.38,9.97,277.3,389,2.75,12.57,1.207,50.1
"2025-11-05 11:15:00",10,13.11,"2025-11-05 11:00:50",17.21,10.05,277.8,388.8,2.749,12.62,1.206,50.25
"2025-11-05 11:30:00",11,13.33,"2025-11-05 11:16:10",17.32,10.15,278.4,388.5,2.73,12.81,1.204,50.45
"2025-11-05 11:45:00",12,13.45,"2025-11-05 11:30:50",17.56,10.27,279,388.2,2.706,12.93,1.204,50.67
"2025-11-05 12:00:00",13,13.5,"2025-11-05 11:46:20",17.69,10.43,279.9,387.8,2.702,12.98,1.203,50.95
"2025-11-05 12:15:00",14,13.56,"2025-11-05 12:00:50",17.94,10.6,280.8,387.4,2.678,13.04,1.202,51.27
"2025-11-05 12:30:00",15,13.6,"2025-11-05 12:16:30",18.5,10.78,281.9,386.9,2.666,13.07,1.201,51.59
"2025-11-05 12:45:00",16,13.6,"2025-11-05 12:31:10",18.91,10.94,282.8,386.6,2.644,13.1,1.199,51.87
"2025-11-05 13:00:00",17,13.64,"2025-11-05 12:46:30",19.56,11.09,283.7,386.4,2.859,13.12,1.199,52.12
"2025-11-05 13:15:00",18,13.63,"2025-11-05 13:12:50",20.37,11.23,284.5,386.1,2.898,13.13,1.199,52.37
"2025-11-05 13:30:00",19,13.62,"2025-11-05 13:19:00",21.01,11.36,285.3,385.9,2.646,13.1,1.198,52.6
"2025-11-05 13:45:00",20,13.64,"2025-11-05 13:30:40",20.96,11.47,286,385.7,2.628,13.13,1.198,52.79
"2025-11-05 14:00:00",21,13.7,"2025-11-05 13:46:20",20.84,11.56,286.6,385.5,2.615,13.18,1.196,52.94
"2025-11-05 14:15:00",22,13.75,"2025-11-05 14:00:20",20.78,11.63,287,385.4,2.606,13.25,1.195,53.06
"2025-11-05 14:30:00",23,13.85,"2025-11-05 14:16:10",20.84,"NAN","NAN","NAN","NAN","NAN",1.195,53.13
"2025-11-05 14:45:00",24,13.99,"2025-11-05 14:30:10",21.09,11.7,287.5,385.4,2.597,13.51,1.195,53.17
"2025-11-05 15:00:00",25,14.09,"2025-11-05 14:46:20",21.72,11.69,287.5,385.4,2.587,13.62,1.194,53.15
"2025-11-05 15:15:00",26,14.17,"2025-11-05 15:12:30",21.96,11.65,287.3,385.6,2.577,13.66,1.193,53.05
"2025-11-05 15:30:00",27,14.08,"2025-11-05 15:26:50",22.19,11.57,286.8,385.8,2.553,13.64,1.192,52.9
"2025-11-05 15:45:00",28,13.97,"2025-11-05 15:44:40",22.3,11.5,286.5,386.1,2.547,13.52,1.191,52.79
"2025-11-05 16:00:00",29,13.88,"2025-11-05 15:58:50",22.38,11.45,286.3,386.4,2.537,13.41,1.191,52.7
"2025-11-05 16:15:00",30,13.7,"2025-11-05 16:15:00",22.27,11.4,286.2,386.6,2.527,13.32,1.19,52.61
"2025-11-05 16:30:00",31,13.5,"2025-11-05 16:28:50",21.82,11.33,286,387,2.517,13.11,1.188,52.5
"2025-11-05 16:45:00",32,13.34,"2025-11-05 16:45:00",21.32,11.29,285.9,387.3,2.52,12.91,1.188,52.42
"2025-11-05 17:00:00",33,13.27,"2025-11-05 16:58:40",20.62,11.25,285.8,387.6,2.5,12.78,1.187,52.35
"2025-11-05 17:15:00",34,13.22,"2025-11-05 17:14:50",20.02,11.21,285.8,387.9,2.508,12.72,1.186,52.29
"2025-11-05 17:30:00",35,13.18,"2025-11-05 17:29:00",19.38,11.19,285.8,388.2,2.525,12.67,1.186,52.25
"2025-11-05 17:45:00",36,13.14,"2025-11-05 17:44:50",18.58,"NAN","NAN","NAN","NAN","NAN",1.185,52.23
"2025-11-05 18:00:00",37,13.13,"2025-11-05 17:59:00",17.75,11.17,285.9,388.5,2.501,12.6,1.185,52.22
"2025-11-05 18:15:00",38,13.12,"2025-11-05 18:14:50",16.93,11.17,286,388.7,2.509,12.58,1.184,52.22
"2025-11-05 18:30:00",39,13.11,"2025-11-05 18:23:00",16.16,11.17,286.1,388.8,2.517,12.57,1.183,52.23
"2025-11-05 18:45:00",40,13.09,"2025-11-05 18:44:50",15.43,11.18,286.3,389,2.553,12.56,1.182,52.25
"2025-11-05 19:00:00",41,13.07,"2025-11-05 18:56:50",14.76,11.19,286.4,389.1,2.571,12.53,1.18,52.27
"2025-11-05 19:15:00",42,13.06,"2025-11-05 19:15:00",14.17,11.2,286.6,389.1,2.562,12.52,1.179,52.29
"2025-11-05 19:30:00",43,13.05,"2025-11-05 19:26:50",13.65,11.21,286.7,389.2,2.617,12.51,1.178,52.3
"2025-11-05 19:45:00",44,13.04,"2025-11-05 19:42:40",13.18,11.22,286.8,389.3,2.51,12.49,1.178,52.32
"2025-11-05 20:00:00",45,13.01,"2025-11-05 19:58:40",12.72,11.23,287,389.4,2.502,12.48,1.177,52.33
"2025-11-05 20:15:00",46,13,"2025-11-05 20:04:50",12.25,11.23,287.1,389.5,2.485,12.46,1.176,52.35
"2025-11-05 20:30:00",47,13,"2025-11-05 20:29:00",11.84,11.24,287.2,389.6,2.481,12.45,1.176,52.36
"2025-11-05 20:45:00",48,12.99,"2025-11-05 20:36:40",11.45,11.25,287.4,389.7,2.47,12.44,1.174,52.37
"2025-11-05 21:00:00",49,12.97,"2025-11-05 20:57:00",11.08,11.26,287.5,389.9,2.497,12.43,1.173,52.38
"2025-11-05 21:15:00",50,12.96,"2025-11-05 21:13:00",10.72,11.26,287.6,389.9,2.475,12.41,1.172,52.4
"2025-11-05 21:30:00",51,12.94,"2025-11-05 21:25:00",10.4,11.27,287.7,390,2.439,12.4,1.171,52.41
"2025-11-05 21:45:00",52,12.93,"2025-11-05 21:42:30",10.09,11.27,287.8,390.1,2.416,12.39,1.169,52.42
"2025-11-05 22:00:00",53,12.92,"2025-11-05 21:59:00",9.8,11.28,287.9,390.1,2.437,12.38,1.169,52.42
"2025-11-05 22:15:00",54,12.91,"2025-11-05 22:11:00",9.52,11.28,288,390.2,2.464,12.37,1.167,52.43
"2025-11-05 22:30:00",55,12.9,"2025-11-05 22:29:00",9.25,11.28,288,390.3,2.484,12.36,1.166,52.43
